ANTsNeighborhoodCorrelation,Correlation,MeanSquares,MattesMutualInformation,Demons,JointHistogramMutualInformation,Subject,method,init,dofs
-3.289296865463257,-0.7312305569648743,5181226.0,-0.7395315766334534,7019099.5,-3.289296865463257,sub-135S6389,bbregister,spm,6dof
-5.306787490844727,-0.4579525887966156,7396386.0,-0.3590710461139679,8261171.5,-5.306787490844727,sub-135S6389,bbregister,fsl,9dof
-3.289336919784546,-0.7312421202659607,5181177.0,-0.7395853400230408,5480789.0,-3.289336919784546,sub-135S6389,bbregister,coreg,6dof
-3.1808340549468994,-0.7431271076202393,5434243.0,-0.7007570862770081,inf,-3.1808340549468994,sub-135S6389,bbregister,rr,9dof
-3.288440227508545,-0.7312338352203369,5181222.0,-0.739564061164856,5484268.0,-3.288440227508545,sub-135S6389,bbregister,rr,6dof
-5.68458366394043,-0.5360127091407776,5991838.0,-0.4573264122009277,14132851.0,-5.68458366394043,sub-135S6389,bbregister,fsl,6dof
-3.1546754837036133,-0.744093656539917,5425672.0,-0.7026498913764954,5751393.0,-3.1546754837036133,sub-135S6389,bbregister,spm,9dof
-3.260286331176758,-0.7474604249000549,5390130.5,-0.7071699500083923,7562375.5,-3.260286331176758,sub-135S6389,bbregister,rr,12dof
-3.1813559532165527,-0.7445841431617737,5417927.5,-0.7028481960296631,5717998.5,-3.1813559532165527,sub-135S6389,bbregister,spm,12dof
-5.496201038360596,-0.3918147385120392,9415279.0,-0.270538181066513,13184781.0,-5.496201038360596,sub-135S6389,bbregister,coreg,12dof
-6.679227828979492,-0.338977962732315,9536866.0,-0.2244855910539627,11820926.0,-6.679227828979492,sub-135S6389,bbregister,coreg,9dof
-4.033664226531982,-0.4346906542778015,7793689.0,-0.3285218775272369,7887486.5,-4.033664226531982,sub-135S6389,bbregister,fsl,12dof
-3.365863084793091,-0.7291794419288635,5179760.5,-0.7426543235778809,5502902.5,-3.365863084793091,sub-135S6389,mri-coreg,NA,9dof
-3.2767603397369385,-0.7291487455368042,5183594.5,-0.7424537539482117,5539963.0,-3.2767603397369385,sub-135S6389,mri-coreg,NA,6dof
-3.334277391433716,-0.7299484610557556,5179473.5,-0.7437809109687805,5509816.0,-3.334277391433716,sub-135S6389,mri-coreg,NA,12dof
-3.1824264526367188,-0.7286950349807739,5185211.0,-0.7422977685928345,5487272.0,-3.1824264526367188,sub-135S6389,vvregister,rr,6dof
-3.182352066040039,-0.7286885976791382,5185226.5,-0.742293119430542,14198842.0,-3.182352066040039,sub-135S6389,vvregister,spm,6dof
-3.338850498199463,-0.7422439455986023,5205830.0,-0.7414950132369995,5630311.5,-3.338850498199463,sub-135S6389,vvregister,rr,9dof
-6.046619415283203,-0.4497712850570678,6233834.0,-0.362324446439743,6821542.0,-6.046619415283203,sub-135S6389,vvregister,fsl,6dof
-3.3435208797454834,-0.7426984906196594,5206752.0,-0.741832435131073,15038398.0,-3.3435208797454834,sub-135S6389,vvregister,spm,12dof
-3.3409104347229004,-0.742257297039032,5206190.5,-0.7413454055786133,7092917.5,-3.3409104347229004,sub-135S6389,vvregister,spm,9dof
-3.184659004211426,-0.728687584400177,5185266.0,-0.7422751188278198,14201839.0,-3.184659004211426,sub-135S6389,vvregister,coreg,6dof
-6.643911838531494,-0.2842054665088653,10589647.0,-0.185308501124382,15000183.0,-6.643911838531494,sub-135S6389,vvregister,fsl,9dof
